tweet_id,year,month,day,weekday,hour,minute,text,rating_numerator,rating_denominator,favorite_count,retweet_count,name,stage,dog_type
666020888022790149,2015,11,15,6,22,32,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,8,10,2283.0,419.0,,,Welsh_springer_spaniel
666029285002620928,2015,11,15,6,23,5,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,7,10,112.0,39.0,a,,redbone
666033412701032449,2015,11,15,6,23,21,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,9,10,100.0,36.0,a,,German_shepherd
666044226329800704,2015,11,16,0,0,4,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,6,10,246.0,114.0,a,,Rhodesian_ridgeback
666049248165822465,2015,11,16,0,0,24,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,5,10,88.0,36.0,,,miniature_pinscher
666050758794694657,2015,11,16,0,0,30,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,10,10,115.0,50.0,a,,Bernese_mountain_dog
666051853826850816,2015,11,16,0,0,35,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,2,10,1023.0,696.0,an,,
666055525042405380,2015,11,16,0,0,49,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,10,10,366.0,196.0,a,,chow
666057090499244032,2015,11,16,0,0,55,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,9,10,247.0,111.0,a,,golden_retriever
666058600524156928,2015,11,16,0,1,1,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,8,10,99.0,47.0,the,,miniature_poodle
666063827256086533,2015,11,16,0,1,22,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,10,10,396.0,180.0,the,,golden_retriever
666071193221509120,2015,11,16,0,1,52,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,9,10,127.0,50.0,,,Gordon_setter
666073100786774016,2015,11,16,0,1,59,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY,10,10,273.0,129.0,,,Walker_hound
666082916733198337,2015,11,16,0,2,38,Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof https://t.co/3RU6x0vHB7,6,10,92.0,37.0,,,pug
666094000022159362,2015,11,16,0,3,22,This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with https://t.co/mnioXo3IfP,9,10,142.0,63.0,,,bloodhound
666099513787052032,2015,11,16,0,3,44,Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C,8,10,134.0,53.0,,,Lhasa
666102155909144576,2015,11,16,0,3,55,Oh my. Here you are seeing an Adobe Setter giving birth to twins!!! The world is an amazing place. 11/10 https://t.co/11LvqN4WLq,11,10,66.0,11.0,,,English_setter
666104133288665088,2015,11,16,0,4,2,Not familiar with this breed. No tail (weird). Only 2 legs. Doesn't bark. Surprisingly quick. Shits eggs. 1/10 https://t.co/Asgdc6kuLX,1,10,12838.0,5452.0,,,
666268910803644416,2015,11,16,0,14,57,Very concerned about fellow dog trapped in computer. 10/10 https://t.co/0yxApIikpk,10,10,99.0,38.0,,,
666273097616637952,2015,11,16,0,15,14,Can take selfies 11/10 https://t.co/ws2AMaNwPW,11,10,151.0,66.0,,,Italian_greyhound
666287406224695296,2015,11,16,0,16,11,This is an Albanian 3 1/2 legged  Episcopalian. Loves well-polished hardwood flooring. Penis on the collar. 9/10 https://t.co/d9NcXFKwLv,9,10,123.0,55.0,an,,Maltese_dog
666293911632134144,2015,11,16,0,16,37,This is a funny dog. Weird toes. Won't come down. Loves branch. Refuses to eat his food. Hard to cuddle with. 3/10 https://t.co/IIXis0zta0,3,10,424.0,288.0,a,,
666337882303524864,2015,11,16,0,19,31,This is an extremely rare horned Parthenon. Not amused. Wears shoes. Overall very nice. 9/10 would pet aggressively https://t.co/QpRjllzWAL,9,10,168.0,79.0,an,,Newfoundland
666345417576210432,2015,11,16,0,20,1,Look at this jokester thinking seat belt laws don't apply to him. Great tongue tho 10/10 https://t.co/VFKG1vxGjB,10,10,242.0,121.0,,,golden_retriever
666353288456101888,2015,11,16,0,20,32,Here we have a mixed Asiago from the Galápagos Islands. Only one ear working. Big fan of marijuana carpet. 8/10 https://t.co/tltQ5w9aUO,8,10,178.0,56.0,,,malamute
666362758909284353,2015,11,16,0,21,10,Unique dog here. Very small. Lives in container of Frosted Flakes (?). Short legs. Must be rare 6/10 would still pet https://t.co/XMD9CwjEnM,6,10,648.0,465.0,,,
666373753744588802,2015,11,16,0,21,54,Those are sunglasses and a jean jacket. 11/10 dog cool af https://t.co/uHXrPkUEyl,11,10,162.0,73.0,,,soft-coated_wheaten_terrier
666396247373291520,2015,11,16,0,23,23,Oh goodness. A super rare northeast Qdoba kangaroo mix. Massive feet. No pouch (disappointing). Seems alert. 9/10 https://t.co/Dc7b0E8qFE,9,10,147.0,68.0,,,Chihuahua
666407126856765440,2015,11,17,1,0,6,This is a southern Vesuvius bumblegruff. Can drive a truck (wow). Made friends with 5 other nifty dogs (neat). 7/10 https://t.co/LopTBkKa8h,7,10,93.0,30.0,a,,black-and-tan_coonhound
666411507551481857,2015,11,17,1,0,24,This is quite the dog. Gets really excited when not in water. Not very soft tho. Bad at fetch. Can't do tricks. 2/10 https://t.co/aMCTNWO94t,2,10,371.0,261.0,quite,,
666418789513326592,2015,11,17,1,0,53,This is Walter. He is an Alaskan Terrapin. Loves outdated bandanas. One ear still working. Cool house plant. 10/10 https://t.co/qXpcwENTvn,10,10,107.0,39.0,Walter,,toy_terrier
666421158376562688,2015,11,17,1,1,2,*internally screaming* 12/10 https://t.co/YMcrXC2Y6R,12,10,272.0,90.0,,,Blenheim_spaniel
666428276349472768,2015,11,17,1,1,30,Here we have an Austrian Pulitzer. Collectors edition. Levitates (?). 7/10 would garden with https://t.co/NMQq6HIglK,7,10,139.0,67.0,,,Pembroke
666430724426358785,2015,11,17,1,1,40,Oh boy what a pup! Sunglasses take this one to the next level. Weirdly folds front legs. Pretty big. 6/10 https://t.co/yECbFrSArM,6,10,276.0,159.0,,,Irish_terrier
666435652385423360,2015,11,17,1,2,0,"""Can you behave? You're ruining my wedding day""
DOG: idgaf this flashlight tastes good as hell

10/10 https://t.co/GlFZPzqcEU",10,10,137.0,41.0,,,Chesapeake_Bay_retriever
666437273139982337,2015,11,17,1,2,6,Here we see a lone northeastern Cumberbatch. Half ladybug. Only builds with bricks. Very confident with body. 7/10 https://t.co/7LtjBS0GPK,7,10,106.0,40.0,,,Chihuahua
666447344410484738,2015,11,17,1,2,46,This is Scout. She is a black Downton Abbey. Isn't afraid to get dirty. 9/10 nothing bad to say https://t.co/kH60oka1HW,9,10,90.0,19.0,Scout,,curly-coated_retriever
666454714377183233,2015,11,17,1,3,16,I'll name the dogs from now on. This is Kreggory. He does parkour. 10/10 https://t.co/uPqPeXAcua,10,10,446.0,179.0,Kreggory,,dalmatian
666644823164719104,2015,11,17,1,15,51,This is Jimothy. He is a Botwanian Gouda. Can write (impressive). Very erect tail. Still looking for hoco date. 9/10 https://t.co/LEkZjZxESQ,9,10,207.0,68.0,Jimothy,,Ibizan_hound
666649482315059201,2015,11,17,1,16,9,Cool dog. Enjoys couch. Low monotone bark. Very nice kicks. Pisses milk (must be rare). Can't go down stairs. 4/10 https://t.co/vXMKrJC81s,4,10,992.0,522.0,,,Border_collie
666691418707132416,2015,11,17,1,18,56,This is Christoper. He is a spotted Penne. Can easily navigate stairs. 8/10 https://t.co/bg4TqvvkuF,8,10,160.0,41.0,Christoper,,German_shepherd
666701168228331520,2015,11,17,1,19,35,This is a golden Buckminsterfullerene named Johm. Drives trucks. Lumberjack (?). Enjoys wall. 8/10 would hug softly https://t.co/uQbZJM2DQB,8,10,371.0,181.0,a,,Labrador_retriever
666739327293083650,2015,11,17,1,22,6,This is Lugan. He is a Bohemian Rhapsody. Very confused dog. Thinks his name is Rocky. Not amused by the snows 10/10 https://t.co/tI3uFLDHBI,10,10,207.0,59.0,Lugan,,miniature_poodle
